frame,x,y
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,64.01937866210938,0.0
0,459.2151794433594,139.45065307617188
0,64.42273712158203,116.72989654541016
0,308.95538330078125,101.40023803710938
0,168.6842803955078,100.46436309814453
0,259.52947998046875,400.1658630371094
0,255.2897186279297,411.60968017578125
0,194.08799743652344,663.5623168945312
0,354.32684326171875,700.3244018554688
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,0.0,0.0
1,64.237548828125,0.0
1,465.113525390625,140.16636657714844
1,72.8691635131836,117.98634338378906
1,315.1353454589844,106.7211685180664
1,173.71241760253906,106.18661499023438
1,262.5684814453125,399.16259765625
1,258.608642578125,411.5699157714844
1,194.3763427734375,661.4456176757812
1,361.8617248535156,699.42578125
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,65.10755157470703,0.0
2,467.6060485839844,133.64044189453125
2,75.912353515625,118.14273834228516
2,320.970703125,105.37163543701172
2,176.36561584472656,105.15705871582031
2,263.53924560546875,401.5702819824219
2,259.53070068359375,413.79107666015625
2,193.05332946777344,663.1292724609375
2,369.0638122558594,701.3684692382812
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,0.0,0.0
3,76.03556060791016,0.0
3,464.5003967285156,132.77880859375
3,75.0349349975586,108.91566467285156
3,321.0685119628906,101.5905532836914
3,178.21591186523438,105.5167007446289
3,270.4436340332031,404.6982727050781
3,268.9529113769531,428.5717468261719
3,207.4154815673828,661.8561401367188
3,370.72174072265625,709.893310546875
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,0.0,0.0
4,81.86260986328125,0.0
4,466.171142578125,124.64554595947266
4,76.31937408447266,108.82166290283203
4,331.0555114746094,109.92279052734375
4,188.02073669433594,112.73432922363281
4,273.5560607910156,410.9887390136719
4,273.7588806152344,433.9843444824219
4,210.01414489746094,662.78125
4,377.8356628417969,712.7752685546875
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,0.0,0.0
5,89.62134552001953,0.0
5,467.7834777832031,121.10476684570312
5,80.86555480957031,110.38959503173828
5,332.6033935546875,117.72468566894531
5,192.22097778320312,120.17024230957031
5,273.27191162109375,417.364013671875
5,277.8362731933594,440.8535461425781
5,210.90428161621094,662.43896484375
5,381.9044189453125,715.2262573242188
6,0.0,0.0
6,0.0,0.0
6,0.0,0.0
6,0.0,0.0
6,0.0,0.0
6,0.0,0.0
6,0.0,0.0
6,0.0,0.0
6,93.54357147216797,0.0
6,470.8586730957031,116.6982650756836
6,83.37112426757812,110.05757904052734
6,340.01690673828125,108.44471740722656
6,197.78179931640625,110.58039093017578
6,282.02911376953125,410.92071533203125
6,282.0821228027344,435.89312744140625
6,217.50869750976562,662.3880615234375
6,383.7894287109375,720.771484375
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,0.0,0.0
7,97.24224090576172,0.0
7,466.3270568847656,107.73383331298828
7,89.30084228515625,115.60189819335938
7,346.90155029296875,113.64264678955078
7,206.05532836914062,113.94731140136719
7,284.5769958496094,410.5338134765625
7,286.3668212890625,431.6836242675781
7,218.3195343017578,660.2933959960938
7,387.3797607421875,714.750244140625
8,0.0,0.0
8,0.0,0.0
8,0.0,0.0
8,0.0,0.0
8,0.0,0.0
8,0.0,0.0
8,0.0,0.0
8,0.0,0.0
8,102.37889099121094,0.0
8,473.0268249511719,107.24974822998047
8,92.31732177734375,114.41560363769531
8,354.3641662597656,106.64474487304688
8,211.50942993164062,108.02295684814453
8,287.24688720703125,404.5651550292969
8,289.1911926269531,430.64154052734375
8,220.20448303222656,657.7487182617188
8,390.5940856933594,721.6355590820312
9,0.0,0.0
9,0.0,0.0
9,0.0,0.0
9,0.0,0.0
9,0.0,0.0
9,0.0,0.0
9,0.0,0.0
9,0.0,0.0
9,110.16984558105469,0.0
9,471.7590026855469,97.45557403564453
9,100.68557739257812,121.5666275024414
9,359.73846435546875,110.19039916992188
9,217.5409698486328,110.8582763671875
9,294.2291564941406,406.4982604980469
9,294.724853515625,434.117431640625
9,221.29000854492188,655.6622314453125
9,389.5940856933594,726.0661010742188
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,0.0,0.0
10,114.17994689941406,0.0
10,475.256591796875,86.95458984375
10,104.75707244873047,120.1988754272461
10,365.7514343261719,101.55812072753906
10,221.0638427734375,101.59854125976562
10,298.88946533203125,404.701904296875
10,294.08233642578125,430.8065185546875
10,226.47900390625,655.109375
10,383.6975402832031,723.2922973632812
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,0.0,0.0
11,118.33946228027344,0.0
11,479.83648681640625,88.21048736572266
11,108.22627258300781,122.71188354492188
11,377.737060546875,105.063720703125
11,233.61544799804688,104.51030731201172
11,300.3266906738281,408.3660583496094
11,295.95574951171875,433.3172912597656
11,228.46377563476562,658.5814819335938
11,388.8305969238281,725.3968505859375
12,0.0,0.0
12,0.0,0.0
12,0.0,0.0
