frame,step_length_left,step_length_right,stride_length,walking_phase
1,2.13624872521365,7.588277775290809,171.73772455588832,left
2,2.14127477044486,7.459497273329537,180.11642407473983,left
3,14.418470059173567,8.684563669967641,170.2248631084887,left
4,2.75841972191201,7.675517564046925,175.1098620192121,left
5,0.953678408194347,4.749960229124446,178.96241285250412,left
6,6.604612058482758,5.856859641584195,176.23253284413957,left
7,2.2461255474016806,7.010407837970345,177.61449398606493,left
8,3.16676751409377,7.598647691140722,181.9729241536187,left
9,2.3519763761036185,4.541993212735657,182.43620047433356,left
10,5.218364026110901,6.516382033064466,171.3667969080025,left
11,3.999355619674822,5.547739606619729,173.72913071361037,left
12,10.759992466439774,3.9656902861162346,184.85408700968497,left
13,5.13896870600812,6.614169827750022,190.98095732637273,left
14,5.000663102056909,4.772973484943538,189.11570263322994,left
15,2.20686504784722,17.32992988193814,175.58982329098927,left
16,9.055292348196282,1.4897105810708196,174.63463935447726,left
17,10.390702670746387,3.223799182628347,185.38583646428222,left
18,6.13824791861663,3.008439105890237,183.3087842629295,left
19,15.141085487041767,4.737521413828463,173.4837355420534,left
20,27.99294639561747,7.239081785791089,150.50502950622547,left
21,77.56599887900593,12.786497311672699,63.18431070419936,left
22,21.602747256260994,4.350171717866329,48.382972884803564,left
23,12.78813254929416,6.597161401515705,61.84322316850464,left
24,15.603852388250512,6.289614763949496,72.93455028749462,left
25,8.152667039925616,11.479155593092779,83.091376057246,left
26,34.60886885615191,14.304266532925782,123.2077642524636,left
27,25.12508046363954,5.180994689487005,140.09454113521875,left
28,19.27708782153701,3.489358223111755,136.4430911613295,left
29,18.873442528964453,0.4167644059513026,128.56930409291223,left
30,23.21853811077828,0.7609864878356002,131.5352614082486,left
31,20.359036823126026,3.8743141269357424,139.55959156440605,left
32,13.249357108420789,8.854472690323941,144.65793119147588,left
33,30.304133069286873,7.313045563186613,157.28905564528512,left
34,24.45416352683989,3.34129086202231,172.27734402908754,left
35,28.145186957981114,13.667746341234844,187.89756126768955,left
36,34.6817019887885,11.113322400383948,205.6636959623062,left
