frame,knee_symmetry,knee_symmetry_filtered,ankle_symmetry,ankle_symmetry_filtered,angle_symmetry,angle_symmetry_filtered
0,12.203955384622041,14.198660105323794,164.40175972922523,170.61598297766938,1.1800258522282832,0.9291476059258903
1,13.023895986482382,15.258624957684638,171.73772455588832,171.54555889039185,0.18682989008263462,0.9910172681830256
2,12.861425074463197,17.128656690105284,180.11642407473983,172.92817282645373,1.6613172016950273,1.1339409715140287
3,23.91997116738208,19.322817758732796,170.2248631084887,174.28674160513827,0.09027831368649686,1.364292013586413
4,22.99649988053619,21.29766411861306,175.1098620192121,175.46619605008067,2.177183805467081,1.6461888263075335
5,23.92888489367174,22.744237402111366,178.96241285250412,176.51414205324718,2.7458772992094396,1.910718269637881
6,24.972468370548743,23.711114801051167,176.23253284413957,177.43462577936663,1.5819674589809836,2.0948932083955696
7,21.22540863209645,24.426522296888205,177.61449398606493,178.11393501826575,2.452114550540557,2.1759301507214635
8,26.148770606066492,25.013919608507,181.9729241536187,178.45197182969463,3.538272875096709,2.185574110815293
9,27.623619063043293,25.39678505134434,182.43620047433356,178.60811724587307,0.7227882952652465,2.2041464968965263
10,26.543537327765716,25.467315134768086,171.3667969080025,179.05770285183706,0.8386600105845616,2.326250348919287
11,25.331189280795453,25.31197041427709,173.72913071361037,180.169624530054,5.197295944704024,2.6376359756530174
12,23.157868296611703,25.26917140622122,184.85408700968497,181.6560533242743,0.19769251218133377,3.2440123324567214
13,25.634532711623983,25.801952895735006,190.98095732637273,182.66611362283004,3.858631515709277,4.284054354240379
14,20.539785409773202,27.28870957842948,189.11570263322994,182.55431423856504,3.048320922556087,5.8453026412778515
15,29.45871214129754,29.853586522088857,175.58982329098927,181.29181527643547,8.285323513983116,7.845994308616986
16,32.783762397930204,33.37333254381484,174.63463935447726,178.78154966400598,10.21027797568982,10.008698169088888
17,37.48493992728657,37.70443001050121,185.38583646428222,173.76995128034284,13.338618342169298,11.94384064170424
18,39.8339661561574,42.94599853422031,183.3087842629295,163.8705204486062,15.286881908604641,13.290350634793036
19,46.78492851296247,49.47729066324985,173.4837355420534,147.3544369748325,17.078671433649305,13.889033123006458
20,49.82482948798087,57.73439041073174,150.50502950622547,125.53490919928848,15.584534661092022,13.935386444538171
21,64.72265161531331,67.96110594544541,63.18431070419936,103.40215499776787,9.557975202930947,13.958382532220313
22,80.15035260025745,80.19165662479232,48.382972884803564,87.28050517872029,11.760239377788935,14.543784761594695
23,87.51616001426397,94.39338852144986,61.84322316850464,81.2336760772614,14.082133504132145,15.989198005933009
24,105.5104844244193,110.39794991411348,72.93455028749462,85.24148649163413,17.923394136341045,18.16290483181462
25,123.19938749632786,127.52920073396568,83.091376057246,96.01214200047572,20.460611154164923,20.611508306378585
26,152.59464469835382,144.43778491161805,123.2077642524636,108.98487763621522,25.059021425467023,22.772135483812956
27,171.8067981317516,159.63700019747432,140.09454113521875,120.28541114218231,28.31485939668184,24.19778595782623
28,178.18598774960233,172.40785749521,136.4430911613295,128.1679906263505,26.370693758001266,24.7485601787125
29,180.565260134753,183.15926265116298,128.56930409291223,133.32365347687252,24.426498602195153,24.628915533678818
30,191.3542287726699,192.85795635674302,131.5352614082486,137.82153767595088,23.148567579598392,24.191103132040503
31,200.96314956753224,202.1532784530569,139.55959156440605,143.62434720983842,22.457210477967664,23.641068454482316
32,216.16785642881936,211.05761376426096,144.65793119147588,151.83512702205238,25.580402827933426,22.911137100930144
33,222.23748171863718,219.31797400040801,157.28905564528512,162.80920388747538,23.66015519696444,21.80552432370024
34,226.60608722377813,226.9219192842002,172.27734402908754,176.59129738963563,21.148291367420995,20.243067817707278
35,232.75901622312193,234.21029025505365,187.89756126768955,193.2533316157587,17.385367516077878,18.335231697711514
36,242.69764552902404,241.56913636725162,205.6636959623062,212.9686964402609,16.50607870799007,16.242029102937693
37,241.32786521889142,249.00510782468695,224.72887922150147,235.76440983145034,13.053672376989994,14.002535747573214
38,265.20018074336105,255.97516072696268,261.28991171878243,261.12592787461745,14.699170882895885,11.559328473609462
39,266.9840918222202,261.71034312923797,283.6620941363038,287.8206680895647,10.742655299005236,8.968200165071117
40,272.1272345194858,265.8369412360493,325.66009254433436,314.14190046497885,1.5945307303454683,6.532303633289298
41,265.39973100994587,268.65567467167864,343.008652245542,338.3875343422488,3.061258957767933,4.658263735505596
42,267.90358785338736,270.7474320587991,368.38687085519854,359.2335202428876,1.6886709912136553,3.57513947436583
43,274.84167732249784,272.40151093829326,387.294010824433,375.88066581468723,2.8552009374118654,3.209386831843103
44,281.2892217663552,273.55710985790796,399.24184201853325,388.082060798421,2.013021377393386,3.2829494256436895
45,269.9750842186367,274.1746437995058,399.82736239202075,396.0806955426914,5.781721369040298,3.485645847536527
46,273.59546804886907,274.36533134529225,406.10338919817644,400.4106822724124,3.452337256001698,3.6042295579216552
47,274.1680919816204,274.098043784709,410.0226069033834,401.72510809264395,3.3343451550953773,3.5774960154331996
48,279.9245095813855,272.9882075007978,403.9385470271181,400.83185047708537,4.215043780055339,3.510723489794973
49,274.55537530570973,270.4765232551407,395.9939397816444,398.7128680386129,3.6240245339321007,3.680205718809573
50,266.4895653101227,266.0678480735379,392.3505709940758,396.20155495280596,0.7605746245035334,4.465532706198585
51,267.0685707627631,259.34782464311735,395.1503861424475,393.4830653034091,0.6680287113762233,6.114977597714731
52,256.34757969391904,250.02025152246443,394.85027328262703,389.92030412186193,10.755765274490187,8.474265954057774
53,252.72168504858337,238.1035746600588,390.31667644037816,384.37161049452027,10.098174212662116,11.01004748920603
54,206.0253506006543,223.92320351669417,386.381479794917,375.74410829650753,21.822430287761875,13.211190148171223
55,223.11293259303784,207.79721417710942,373.1377385435684,363.47569011997996,11.54473037240345,14.984549753970489
56,203.8342471886679,190.00819077538753,353.4704420987109,347.7462397108047,11.947673632875194,16.605166181086148
57,158.44433966722607,171.11694884403795,329.202107502993,329.2912099376723,21.011850607074194,18.3365922077179
58,146.26221174912735,151.81610144366573,311.28304957445744,308.9436646013317,21.791130882352633,20.239341480510248
59,136.59133254038287,132.33968049688616,291.48513217581404,287.2453400378842,21.50141294049041,22.291731353275072
60,129.70886331946895,112.56538569258343,265.9567584240465,264.2164778691532,18.744334607196578,24.409909743903224
61,76.49510638582971,92.9332071896692,235.01607153310013,239.14450024556837,31.552204930000073,26.219518319717025
62,73.69722829794073,74.84806224435346,230.36494170258308,210.72033397054352,31.09830827741831,27.001203921223066
63,42.0264599704793,59.90367534066925,199.6019253629585,178.28203665125898,33.63219921449982,26.092963922790894
64,39.67193603534405,48.878434211648255,147.58839840827812,143.8566017393602,26.823524071245657,23.426579237616775
65,43.892562489457475,41.691330225845434,87.15138584558785,113.01515806122396,18.725407121577263,19.668157083075435
66,35.845751299628525,38.26670691029361,28.05067878586765,92.90993066382634,10.535846064450453,15.821690020934447
67,15.34551612118725,39.146196234575775,53.17380168118971,88.57715908867165,9.792018190369106,12.641407646289812
68,32.93426847808773,45.006849680725985,72.91812590572265,100.53205996423725,11.727513437992798,10.338806384817563
69,52.633190527322164,55.68100658040683,114.41148371255069,125.36922902323364,6.15936907812457,8.723619029065528
70,61.449214093145876,69.81245536527649,155.9557648434515,158.23946779489376,8.15417476698812,7.495505483387888
71,90.97308153865772,85.3591973682649,196.25638741011926,194.9957071497685,6.220754504081043,6.407390538122071
72,108.54148441656415,100.40520894211281,230.6191450425271,232.91861677651244,6.1242647746470595,5.308090671168569
73,118.85266572815746,113.80252504792401,275.10210055189714,270.33183244838744,4.759338698400086,4.175108266450304
74,125.8119794565037,125.3869532180266,312.43425152387937,305.9670605064243,2.084755614549607,3.118284602938795
75,138.06062479879546,135.71886193471482,344.60108526361194,338.71288592683015,0.1419872537404956,2.2880838315621506
76,144.7764891525327,145.58687160964757,384.53548199627846,367.8295366140546,1.956688052894009,1.7429270165722408
77,150.8201336009692,155.50144498442924,396.70261980279963,393.22263777508994,1.624236196671319,1.4231965522995078
78,164.1555723382582,165.26751892833383,414.653286993177,415.2529769371423,1.7530245248622975,1.2696480137443542
79,183.65845237397966,173.85756125999583,442.6683888361291,434.0985222951594,0.04115842739045661,1.3443303068286292
80,187.97179776605066,179.83778309473377,458.8922592320409,449.3038920962943,0.28553163626028777,1.8005564733427546
81,195.87121055010638,182.17160308895134,472.80180928940405,460.0306723062916,0.4546721485684202,2.724309437920596
82,186.44253174035615,180.77811803838554,478.3886042552363,465.76409949166646,4.341468077104736,4.034688854627456
83,175.89915868074223,176.38547769457497,476.3609884154885,466.8685396540292,7.756222069928413,5.590254683750651
84,169.5907044443479,169.86580073588314,463.74703384736756,464.57049671557115,6.049795606491529,7.397580717597831
85,174.0028732142076,161.69788381604596,463.37452642826946,460.304195287951,6.544743267938969,9.640750289854429
86,144.9390508019326,151.92858394221955,443.15408143118333,454.77895054727657,9.1087410078203,12.45001862703325
87,149.65375994949713,140.46392791740828,465.7179861098816,447.5099835027042,18.61061561004857,15.692190242188202
